Datetime,Brine Flowrate (T/h),Fluid Temperature (°C),NCG+Steam Flowrate (T/h),Ambient Temperature (°C),Reinjection Temperature (°C),Gross Power (MW),Predicted Gross Power (MW),Has Red Warning,Has Yellow Warning,Red Warning Features,Yellow Warning Features
2025-03-05,1617.10168457031,175.64,67.7765626907348,2.9425663948059,67.5576553344726,48.825937271118164,41.52052,False,False,[],[]
2025-03-05,1621.05505371093,175.86,67.0194911956787,3.20873427391052,67.6814651489257,48.855180740356445,41.40784,False,False,[],[]
2025-03-05,1618.47534179687,175.76,67.2528276443481,4.94291448593139,68.0934295654296,48.39457893371582,41.379208,False,False,[],[]
2025-03-05,1612.24938964843,175.68,67.5122232437133,6.86401081085205,68.8463592529296,47.6284122467041,39.792152,False,False,[],[]
2025-03-05,1616.88256835937,175.68,67.5969724655151,8.6406135559082,69.6952438354492,46.91963768005371,40.916203,False,False,[],[]
2025-03-05,1619.8427734375,175.6,67.3204822540283,10.9635019302368,70.6251068115234,45.93283271789551,41.176704,False,False,[],[]
2025-03-05,1617.05603027343,175.67,67.5275526046753,12.9808731079101,71.5728073120117,44.91987228393555,40.532417,False,False,[],[]
2025-03-05,1614.8671875,175.66,67.2195653915405,14.5790433883667,72.3136596679687,44.34199142456055,41.728714,False,False,[],[]
2025-03-05,1611.19396972656,175.52,66.8943996429443,15.8258447647094,72.7301712036132,43.60210609436035,39.553192,False,False,[],[]
2025-03-05,1610.13806152343,175.41,66.5866613388061,15.9404363632202,72.7808532714843,43.62265205383301,39.57242,False,False,[],[]
2025-03-05,1612.43493652343,175.4,66.6243247985839,15.5740900039672,72.5284805297851,44.00393867492676,40.670948,False,False,[],[]
2025-03-05,1616.615234375,175.89,66.1511344909668,14.6159305572509,72.1706848144531,44.56742286682129,41.429783,False,False,[],[]
2025-03-05,1613.41455078125,175.45,66.5030612945556,13.7464237213134,71.8149108886718,44.894527435302734,39.91447,False,False,[],[]
2025-03-05,1616.41833496093,175.35,66.6715583801269,13.2825860977172,71.7640380859375,45.13369369506836,40.31058,False,False,[],[]
2025-03-05,1610.67553710937,175.28,67.4777307510376,10.9467840194702,70.93359375,46.0938663482666,40.073124,False,False,[],[]
2025-03-05,1617.21520996093,175.38,67.3678550720214,10.1614532470703,70.5131072998046,46.39905548095703,40.60864,False,False,[],[]
2025-03-06,1615.81030273437,175.45,68.1153850555419,9.2401008605957,70.2448806762695,46.831119537353516,41.203114,False,False,[],[]
2025-03-06,1615.64538574218,175.46,68.2277164459228,9.2551794052124,70.1131744384765,46.70937919616699,41.203114,False,False,[],[]
2025-03-06,1611.96069335937,175.45,68.3822259902954,8.7340612411499,70.2178573608398,46.90436363220215,40.53196,False,False,[],[]
2025-03-06,1609.00170898437,175.47,69.3686485290527,7.66277933120727,69.3761978149414,47.25895118713379,39.818752,False,False,[],[]
2025-03-06,1610.83471679687,175.49,69.9616003036499,7.50703001022338,69.6404800415039,47.25284004211426,39.840187,False,False,[],[]
2025-03-06,1610.57629394531,175.43,69.7055101394653,6.94664430618286,69.1326751708984,47.55145835876465,39.986122,False,False,[],[]
2025-03-06,1607.4384765625,175.2,69.3358640670776,7.03659534454345,69.2170181274414,47.4765567779541,40.404617,False,False,[],[]
2025-03-06,1611.51684570312,175.21,69.4667596817016,6.31555652618408,69.0101470947265,47.79806900024414,41.168373,False,False,[],[]
2025-03-06,1612.90551757812,175.2,69.9005060195922,6.49177265167236,68.9270706176757,47.66153335571289,41.06276,False,False,[],[]
2025-03-06,1614.11791992187,174.542648315429,69.3705863952636,7.40040159225463,69.2414474487304,47.439828872680664,42.635773,False,False,[],[]
2025-03-06,1608.38146972656,174.516845703125,68.9426174163818,8.7586669921875,69.6630096435546,46.890621185302734,41.35978,False,False,[],[]
2025-03-06,1616.27429199218,174.551513671875,69.0229368209838,10.6801195144653,70.5284652709961,46.13210487365723,42.419136,False,False,[],[]
2025-03-06,1616.65405273437,174.629486083984,68.4021215438842,12.4943294525146,71.40576171875,45.20610809326172,41.9528,False,False,[],[]
2025-03-06,1611.70446777343,174.699111938476,68.7402477264404,14.861210823059,72.1384887695312,44.11646270751953,42.26449,False,False,[],[]
2025-03-06,1612.75158691406,174.642272949218,68.1746006011962,16.4982624053955,72.9745254516601,43.45388412475586,41.512024,False,False,[],[]
2025-03-06,1607.72595214843,174.637802124023,67.9603109359741,17.0995407104492,73.2797241210937,43.12868118286133,40.361435,False,False,[],[]
2025-03-06,1608.12023925781,174.687179565429,68.4018869400024,18.002779006958,73.4296264648437,42.801513671875,40.0997,False,False,[],[]
2025-03-06,1607.40795898437,174.635345458984,67.8357992172241,18.5993366241455,73.9188232421875,42.46705436706543,39.01553,False,False,[],[]
2025-03-06,1608.92651367187,174.617797851562,67.6083717346191,18.0796031951904,73.786880493164,42.73701286315918,39.267853,False,False,[],[]
2025-03-06,1612.00390625,174.613296508789,68.0642938613891,17.1071186065673,73.4355163574218,43.315839767456055,40.797997,False,False,[],[]
2025-03-06,1610.20959472656,174.63703918457,69.019941329956,16.1333389282226,72.9321212768554,43.69660758972168,41.134483,False,False,[],[]
2025-03-06,1610.39013671875,174.614929199218,68.4068231582641,15.5359897613525,72.6022720336914,43.84491157531738,42.00175,False,False,[],[]
2025-03-06,1599.48364257812,174.684097290039,67.2603664398193,14.4146852493286,72.0948638916015,44.185651779174805,40.638664,False,False,[],[]
2025-03-06,1598.60656738281,174.684265136718,67.3113632202148,13.611867904663,71.7198867797851,44.535919189453125,39.239426,False,False,[],[]
2025-03-07,1602.79296875,174.831893920898,67.3401613235473,12.9388961791992,71.4620819091796,44.841064453125,39.36903,False,False,[],[]
2025-03-07,1598.87878417968,174.768722534179,67.8173723220825,11.9465799331665,71.226203918457,45.1520938873291,39.250713,False,False,[],[]
2025-03-07,1603.37707519531,174.720916748046,67.954397201538,11.2657623291015,70.8840103149414,45.527448654174805,40.521626,False,False,[],[]
2025-03-07,1602.8076171875,174.719833374023,68.169729232788,10.426284790039,70.7052764892578,45.90043067932129,40.575924,False,False,[],[]
2025-03-07,1598.67492675781,174.696655273437,68.6358709335327,9.91416835784912,70.2702255249023,46.09261512756348,40.724266,False,False,[],[]
2025-03-07,1601.93542480468,174.672958374023,68.9107618331909,9.03767490386962,70.1659545898437,46.50961494445801,40.861137,False,False,[],[]
2025-03-07,1598.91882324218,174.606506347656,67.8232555389404,8.518892288208,69.69384765625,46.61511993408203,40.04459,False,False,[],[]
2025-03-07,1599.40625,174.590454101562,69.0562057495117,8.42440414428711,69.8401718139648,46.660858154296875,40.863247,False,False,[],[]
2025-03-07,1604.60766601562,174.655700683593,68.8040695190429,7.97920417785644,69.6002502441406,46.8695125579834,40.863247,False,False,[],[]
2025-03-07,1602.3583984375,175.36,68.8566598892211,8.1420316696167,69.6180191040039,46.81966018676758,39.928608,False,False,[],[]
2025-03-07,1606.3056640625,175.4,68.537670135498,9.7866792678833,70.0088119506836,46.22709846496582,40.042294,False,False,[],[]
2025-03-07,1606.06091308593,175.17,68.8541173934936,11.747893333435,70.9230804443359,45.35689926147461,40.243435,False,False,[],[]
2025-03-07,1602.900390625,175.24,68.6532173156738,13.8685865402221,71.7494964599609,44.27394485473633,39.761837,False,False,[],[]
2025-03-07,1606.23181152343,175.37,68.7516374588012,15.6555948257446,72.5639724731445,43.46831130981445,40.53944,False,False,[],[]
2025-03-07,1597.9150390625,175.05,67.8873643875122,18.0082740783691,73.3027038574218,42.36918544769287,38.419525,False,False,[],[]
2025-03-07,1599.36657714843,175.19,67.6179437637329,19.7196559906005,74.0708618164062,41.56732368469238,37.57282,False,False,[],[]
2025-03-07,1598.24768066406,175.21,67.4236164093017,20.5010776519775,74.8961486816406,40.83343315124512,37.276363,False,False,[],[]
2025-03-07,1602.90734863281,175.07,67.7667255401611,20.747838973999,74.9610061645507,41.00153732299805,37.00424,False,False,[],[]
